Nombre; Genero; Fecha De Estreno 
12 Hombres en pugna; Drama; 1957 
 El Padrino; Crimen; 1972 
 Pulp fiction; Crimen; 1994 
 Forrest Gump; Drama; 1994 
 La lista de schindler; Drama; 1993 
 El Señor De Los Anillos; Fantasia; 2001 
 El caballero oscuro; Crimen; 2008 
 Origen; Accion; 2010 
 El laberinto del fauno; Drama; 2006 
 El Padrino Parte II; Drama; 1974 
